,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.67,0.67,0.11,2022
1,Alternative Energy,0.75,0.92,0.17,2022
2,Automobiles & Parts,0.61,0.89,0.02,2022
3,Banks,0.73,0.91,0.14,2022
4,Beverages,0.65,0.87,0.09,2022
5,Chemicals,0.25,0.75,0.0,2022
6,Construction & Materials,0.47,0.94,0.22,2022
7,Diversified,0.65,0.74,0.23,2022
8,Electricity,0.78,0.97,0.22,2022
9,Electronic & Electrical Equ...,0.95,0.95,0.15,2022
10,Financial Services,0.43,0.95,0.05,2022
11,Fixed Line Telecommunications,0.5,0.5,0.0,2022
12,Food & Drug Retailers,0.67,0.67,0.08,2022
13,Food Producers,0.63,0.96,0.26,2022
14,Forestry & Paper,0.67,1.0,0.5,2022
15,"Gas, Water & Multiutilities",0.77,0.83,0.19,2022
16,General Industrials,0.52,0.98,0.09,2022
17,General Retailers,0.83,0.92,0.28,2022
18,Health Care Equipment & Ser...,0.64,0.96,0.32,2022
19,Household Goods & Home Cons...,0.56,0.89,0.33,2022
20,Industrial Engineering,0.43,0.86,0.14,2022
21,Industrial Metals & Mining,1.0,1.0,0.83,2022
22,Industrial Transportation,0.63,0.84,0.16,2022
23,Life Insurance,1.0,1.0,0.67,2022
24,Media,0.43,0.9,0.07,2022
25,Mining,0.73,1.0,0.09,2022
26,Mobile Telecommunications,1.0,1.0,0.0,2022
27,Nonlife Insurance,0.53,0.87,0.13,2022
28,Not Applicable,0.33,1.0,0.0,2022
29,Oil & Gas Producers,0.57,0.83,0.15,2022
30,"Oil Equipment, Services & D...",0.5,0.86,0.14,2022
31,Personal Goods,0.62,0.62,0.0,2022
32,Pharmaceuticals & Biotechno...,0.47,0.95,0.05,2022
33,Real Estate Investment & Se...,0.67,1.0,0.0,2022
34,Software & Computer Services,0.43,0.74,0.07,2022
35,Support Services,0.51,0.78,0.18,2022
36,Technology Hardware & Equip...,0.6,0.6,0.1,2022
37,Travel & Leisure,0.58,0.74,0.32,2022
