,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.87,0.87,0.47,2022
1,Alternative Energy,0.69,1.0,0.0,2022
2,Automobiles & Parts,0.3,0.84,0.19,2022
3,Banks,0.33,0.81,0.14,2022
4,Beverages,0.61,0.66,0.13,2022
5,Chemicals,0.29,1.0,0.0,2022
6,Construction & Materials,0.47,0.85,0.18,2022
7,Diversified,0.56,0.77,0.18,2022
8,Electricity,0.63,0.74,0.11,2022
9,Electronic & Electrical Equ...,0.31,0.75,0.12,2022
10,Equity Investment Instruments,0.5,0.5,0.0,2022
11,Financial Services,0.58,0.84,0.11,2022
12,Fixed Line Telecommunications,0.53,0.73,0.27,2022
13,Food & Drug Retailers,0.43,0.86,0.07,2022
14,Food Producers,0.54,0.88,0.2,2022
15,Forestry & Paper,0.59,0.41,0.0,2022
16,"Gas, Water & Multiutilities",0.89,0.94,0.61,2022
17,General Industrials,0.35,0.67,0.07,2022
18,General Retailers,0.67,0.91,0.24,2022
19,Health Care Equipment & Ser...,0.32,0.9,0.1,2022
20,Household Goods & Home Cons...,0.75,1.0,0.0,2022
21,Industrial Engineering,0.81,0.92,0.23,2022
22,Industrial Metals & Mining,0.93,1.0,0.46,2022
23,Industrial Transportation,0.57,0.79,0.25,2022
24,Life Insurance,0.28,0.88,0.04,2022
25,Media,0.47,0.84,0.04,2022
26,Mining,0.52,0.9,0.19,2022
27,Mobile Telecommunications,0.45,0.9,0.15,2022
28,Nonequity Investment Instru...,1.0,1.0,0.75,2022
29,Nonlife Insurance,0.67,0.83,0.29,2022
30,Not Applicable,0.46,0.54,0.08,2022
31,Oil & Gas Producers,0.67,0.92,0.44,2022
32,"Oil Equipment, Services & D...",0.5,0.86,0.18,2022
33,Personal Goods,0.67,0.83,0.33,2022
34,Pharmaceuticals & Biotechno...,0.56,0.97,0.29,2022
35,Real Estate Investment & Se...,0.48,0.82,0.06,2022
36,Real Estate Investment Trusts,0.88,1.0,0.5,2022
37,Software & Computer Services,0.38,0.82,0.11,2022
38,Support Services,0.45,0.76,0.1,2022
39,Technology Hardware & Equip...,0.4,0.73,0.13,2022
40,Travel & Leisure,0.59,0.89,0.15,2022
