,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.64,0.79,0.24,2022
1,Alternative Energy,0.87,0.85,0.48,2022
2,Automobiles & Parts,0.62,0.85,0.34,2022
3,Banks,0.81,0.87,0.34,2022
4,Basic Resources,0.0,0.0,0.0,2022
5,Beverages,0.71,0.81,0.31,2022
6,Chemicals,0.77,0.89,0.47,2022
7,Construction & Materials,0.69,0.79,0.3,2022
8,Diversified,0.77,0.83,0.37,2022
9,Electricity,0.84,0.81,0.4,2022
10,Electronic & Electrical Equ...,0.59,0.8,0.23,2022
11,Equity Investment Instruments,0.65,0.82,0.23,2022
12,Financial Services,0.75,0.76,0.28,2022
13,Fixed Line Telecommunications,0.76,0.82,0.32,2022
14,Food & Drug Retailers,0.83,0.83,0.53,2022
15,Food Producers,0.69,0.85,0.39,2022
16,Forestry & Paper,0.73,0.86,0.31,2022
17,"Gas, Water & Multiutilities",0.74,0.78,0.38,2022
18,General Industrials,0.67,0.82,0.29,2022
19,General Retailers,0.64,0.79,0.23,2022
20,Health Care Equipment & Ser...,0.56,0.89,0.27,2022
21,Household Goods & Home Cons...,0.68,0.89,0.33,2022
22,Industrial Engineering,0.62,0.78,0.25,2022
23,Industrial Goods & Services,0.5,0.5,0.0,2022
24,Industrial Metals & Mining,0.76,0.9,0.35,2022
25,Industrial Transportation,0.7,0.84,0.28,2022
26,Leisure Goods,0.6,0.74,0.24,2022
27,Life Insurance,0.83,0.79,0.45,2022
28,Media,0.53,0.73,0.1,2022
29,Mining,0.75,0.87,0.47,2022
30,Mobile Telecommunications,0.78,0.9,0.39,2022
31,Nonequity Investment Instru...,0.8,0.97,0.4,2022
32,Nonlife Insurance,0.66,0.81,0.32,2022
33,Not Applicable,0.54,0.71,0.18,2022
34,Oil & Gas Producers,0.8,0.89,0.49,2022
35,"Oil Equipment, Services & D...",0.7,0.86,0.32,2022
36,Personal Goods,0.65,0.85,0.23,2022
37,Pharmaceuticals & Biotechno...,0.69,0.92,0.45,2022
38,Real Estate Investment & Se...,0.76,0.82,0.38,2022
39,Real Estate Investment Trusts,0.86,0.91,0.6,2022
40,Retail,0.0,1.0,0.0,2022
41,Software & Computer Services,0.57,0.79,0.18,2022
42,Support Services,0.58,0.76,0.18,2022
43,Technology Hardware & Equip...,0.68,0.84,0.28,2022
44,Tobacco,1.0,1.0,0.5,2022
45,Travel & Leisure,0.77,0.84,0.25,2022
