,Sector,Climate,Health,Intersection,Year
0,Alternative Energy,1.0,1.0,0.33,2021
1,Banks,1.0,0.94,0.76,2021
2,Beverages,0.89,0.78,0.67,2021
3,Chemicals,0.76,0.96,0.53,2021
4,Construction & Materials,0.87,0.48,0.13,2021
5,Diversified,0.78,0.93,0.41,2021
6,Electricity,1.0,1.0,1.0,2021
7,Electronic & Electrical Equ...,0.75,0.94,0.31,2021
8,Equity Investment Instruments,1.0,1.0,0.0,2021
9,Financial Services,0.9,0.7,0.46,2021
10,Fixed Line Telecommunications,1.0,1.0,0.67,2021
11,Food Producers,0.95,0.95,0.75,2021
12,"Gas, Water & Multiutilities",0.5,1.0,0.5,2021
13,General Industrials,0.6,0.69,0.04,2021
14,General Retailers,0.84,0.88,0.03,2021
15,Health Care Equipment & Ser...,0.81,1.0,0.29,2021
16,Household Goods & Home Cons...,1.0,1.0,0.55,2021
17,Industrial Engineering,0.78,0.96,0.19,2021
18,Industrial Metals & Mining,0.33,0.73,0.2,2021
19,Industrial Transportation,0.72,0.78,0.5,2021
20,Life Insurance,1.0,0.88,0.5,2021
21,Media,0.17,0.0,0.0,2021
22,Mining,0.0,1.0,0.0,2021
23,Nonlife Insurance,0.75,0.75,0.25,2021
24,Not Applicable,0.0,0.5,0.0,2021
25,Oil & Gas Producers,0.43,0.57,0.0,2021
26,"Oil Equipment, Services & D...",1.0,1.0,0.4,2021
27,Personal Goods,0.68,0.82,0.23,2021
28,Pharmaceuticals & Biotechno...,0.56,1.0,0.39,2021
29,Real Estate Investment & Se...,1.0,1.0,0.5,2021
30,Software & Computer Services,0.57,0.95,0.18,2021
31,Support Services,0.7,0.89,0.19,2021
32,Technology Hardware & Equip...,0.69,0.94,0.38,2021
33,Tobacco,1.0,1.0,0.5,2021
34,Travel & Leisure,0.75,0.75,0.19,2021
